v_drive [km/h]	stg	PKW	LNF	LKW	LSZ	RB	SB	MR-2T	MR-4T	KKR	Free
0	-20	0	0	0	0	0	0	0	0	0	0
0	-15	0	0	0	0	0	0	0	0	0	0
0	-10	0	0	0	0	0	0	0	0	0	0
0	-6	0	0	0	0	0	0	0	0	0	0
0	-4	0	0	0	0	0	0	0	0	0	0
0	-2	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0
0	2	0	0	0	0	0	0	0	0	0	0
0	4	0	0	0	0	0	0	0	0	0	0
0	6	0	0	0	0	0	0	0	0	0	0
0	10	0	0	0	0	0	0	0	0	0	0
0	15	0	0	0	0	0	0	0	0	0	0
0	20	0	0	0	0	0	0	0	0	0	0
5	-20	-0.305297801	-0.320966121	-0.331067094	-0.369023419	-0.336647282	-0.379523527	-0.237283089	-0.240910391	-0.210155475	0
5	-15	-0.206713771	-0.220157012	-0.234024877	-0.265309443	-0.237561278	-0.267808914	-0.158246101	-0.161088454	-0.12818955	0
5	-10	-0.122465144	-0.130379612	-0.145836603	-0.168702722	-0.147676696	-0.167171759	-0.092425899	-0.094376621	-0.071092092	0
5	-6	-0.070940467	-0.075120815	-0.086946162	-0.101482536	-0.087938554	-0.098981376	-0.053985146	-0.055185844	-0.041379969	0
5	-4	-0.051288518	-0.053767769	-0.063393038	-0.073345491	-0.063731297	-0.071892641	-0.040796577	-0.041651347	-0.029382136	0
5	-2	-0.036736513	-0.03807573	-0.044775294	-0.049793564	-0.044198099	-0.048808943	-0.031246712	-0.031905015	-0.021828832	0
5	0	-0.025469414	-0.026511975	-0.032090611	-0.033462	-0.030612765	-0.033229171	-0.023878023	-0.024405672	-0.016169949	0
5	2	-0.017899793	-0.018375279	-0.02278008	-0.021895301	-0.021213285	-0.021117757	-0.01789386	-0.018336393	-0.011776572	0
5	4	-0.012521054	-0.012772261	-0.016552774	-0.013619563	-0.014796082	-0.014040264	-0.013534676	-0.013880427	-0.008421675	0
5	6	-0.008633277	-0.008889079	-0.011742781	-0.008089375	-0.009459399	-0.008720734	-0.009784611	-0.01005693	-0.005727426	0
5	10	-0.004334648	-0.004057651	-0.005409584	-0.002041862	-0.003839061	-0.001096223	-0.004788452	-0.004892528	-0.00309613	0
5	15	-0.00175249	-0.001360344	-0.001800723	-8.55774E-05	-0.000765429	-0.000323866	-0.000844247	-0.000843822	-0.000910176	0
5	20	-0.000700314	-0.000502333	-0.000393836	-1.05305E-05	-6.45174E-05	-5.41248E-05	-0.000217365	-0.000218283	-3.83429E-05	0
10	-20	-0.610595602	-0.641932241	-0.662134188	-0.738046838	-0.673294564	-0.759047054	-0.474566179	-0.481820782	-0.420310949	0
10	-15	-0.413427542	-0.440314024	-0.468049755	-0.530618887	-0.475122557	-0.535617828	-0.316492202	-0.322176908	-0.256379101	0
10	-10	-0.244930288	-0.260759224	-0.291673207	-0.337405444	-0.295353391	-0.334343519	-0.184851799	-0.188753242	-0.142184184	0
