Kürzel Verkehrs-situation	ID Verkehrs-situation	Steigung [%]	Strassentyp [#]	v_mittel PKW [km/h]	v_mittel LNF [km/h]	v_mittel Solo LKW [km/h]	v_mittel Last- und Sattelzug [km/h]	v_mittel Reisebus [km/h]	v_mittel Linienbus [km/h]	v_mittel Motorrad (2T) [km/h]	v_mittel Motorrad (4T) [km/h]	v_mittel Kleinkraftrad [km/h]
Dummy	1.00	-10	1	53.10	53.10	40.99	40.99	40.99	24.59	52.50	52.50	50.00
Dummy	1.00	-6	1	53.10	53.10	40.99	40.99	40.99	24.59	52.50	52.50	50.00
Dummy	1.00	-4	1	53.10	53.10	47.02	47.02	47.02	27.31	52.50	52.50	50.00
Dummy	1.00	-2	1	53.10	53.10	47.02	47.02	47.02	27.31	52.50	52.50	50.00
Dummy	1.00	0	1	53.10	53.10	47.02	47.02	47.02	27.29	52.50	52.50	50.00
Dummy	1.00	2	1	53.10	53.10	46.96	46.96	47.02	27.24	52.50	52.50	50.00
Dummy	1.00	4	1	53.10	53.10	46.45	46.45	47.00	27.02	52.50	52.50	50.00
Dummy	1.00	6	1	53.10	53.10	44.56	44.56	46.67	23.05	52.50	52.50	50.00
Dummy	1.00	10	1	53.10	53.10	44.56	44.56	46.67	23.05	52.50	52.50	50.00
IO_HVS1	1.01	-10	1	53.10	53.10	40.99	40.99	40.99	24.59	52.50	52.50	50.00
IO_HVS1	1.01	-6	1	53.10	53.10	40.99	40.99	40.99	24.59	52.50	52.50	50.00
IO_HVS1	1.01	-4	1	53.10	53.10	47.02	47.02	47.02	27.31	52.50	52.50	50.00
IO_HVS1	1.01	-2	1	53.10	53.10	47.02	47.02	47.02	27.31	52.50	52.50	50.00
IO_HVS1	1.01	0	1	53.10	53.10	47.02	47.02	47.02	27.29	52.50	52.50	50.00
IO_HVS1	1.01	2	1	53.10	53.10	46.96	46.96	47.02	27.24	52.50	52.50	50.00
IO_HVS1	1.01	4	1	53.10	53.10	46.45	46.45	47.00	27.02	52.50	52.50	50.00
IO_HVS1	1.01	6	1	53.10	53.10	44.56	44.56	46.67	23.05	52.50	52.50	50.00
IO_HVS1	1.01	10	1	53.10	53.10	44.56	44.56	46.67	23.05	52.50	52.50	50.00
IO_HVS2	1.02	-10	1	42.10	42.10	28.37	28.37	32.40	21.43	41.50	41.50	41.50
IO_HVS2	1.02	-6	1	42.10	42.10	28.37	28.37	32.40	21.43	41.50	41.50	41.50
IO_HVS2	1.02	-4	1	42.10	42.10	33.36	33.36	37.68	21.42	41.50	41.50	41.50
IO_HVS2	1.02	-2	1	42.10	42.10	33.36	33.36	37.68	21.41	41.50	41.50	41.50
IO_HVS2	1.02	0	1	42.10	42.10	33.36	33.36	37.68	21.40	41.50	41.50	41.50
